lfd_nr,sat_head_indicator,sat_indicator,sat_unit,mfa_category,mfa_subcategory
1,Material,Rice,tonnes,Biomass,Crops
2,Material,Rice_Residues,tonnes,Biomass,Crop residues
3,Material,Wheat,tonnes,Biomass,Crops
4,Material,Wheat_Residues,tonnes,Biomass,Crop residues
5,Material,Barley,tonnes,Biomass,Crops
6,Material,Barley_Residues,tonnes,Biomass,Crop residues
7,Material,Buckwheat,tonnes,Biomass,Crops
8,Material,Buckwheat_Residues,tonnes,Biomass,Crop residues
9,Material,Canary seed,tonnes,Biomass,Crops
10,Material,Canary seed_Residues,tonnes,Biomass,Crop residues
11,Material,Cereals n.e.c.,tonnes,Biomass,Crops
12,Material,Cereals n.e.c._Residues,tonnes,Biomass,Crop residues
13,Material,Fonio,tonnes,Biomass,Crops
14,Material,Fonio_Residues,tonnes,Biomass,Crop residues
15,Material,Maize (corn),tonnes,Biomass,Crops
16,Material,Maize (corn)_Residues,tonnes,Biomass,Crop residues
17,Material,Millet,tonnes,Biomass,Crops
18,Material,Millet_Residues,tonnes,Biomass,Crop residues
19,Material,Mixed grain,tonnes,Biomass,Crops
20,Material,Mixed grain_Residues,tonnes,Biomass,Crop residues
21,Material,Oats,tonnes,Biomass,Crops
22,Material,Oats_Residues,tonnes,Biomass,Crop residues
23,Material,Quinoa,tonnes,Biomass,Crops
24,Material,Quinoa_Residues,tonnes,Biomass,Crop residues
25,Material,Rye,tonnes,Biomass,Crops
26,Material,Rye_Residues,tonnes,Biomass,Crop residues
27,Material,Sorghum,tonnes,Biomass,Crops
28,Material,Sorghum_Residues,tonnes,Biomass,Crop residues
29,Material,Triticale,tonnes,Biomass,Crops
30,Material,Triticale_Residues,tonnes,Biomass,Crop residues
31,Material,Natural rubber in primary forms,tonnes,Biomass,Crops
32,Material,Natural rubber in primary forms_Residues,tonnes,Biomass,Crop residues
33,Material,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",tonnes,Biomass,Crops
34,Material,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw_Residues",tonnes,Biomass,Crop residues
35,Material,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",tonnes,Biomass,Crops
36,Material,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw_Residues",tonnes,Biomass,Crop residues
37,Material,"Cinnamon and cinnamon-tree flowers, raw",tonnes,Biomass,Crops
38,Material,"Cinnamon and cinnamon-tree flowers, raw_Residues",tonnes,Biomass,Crop residues
39,Material,"Cloves (whole stems), raw",tonnes,Biomass,Crops
40,Material,"Cloves (whole stems), raw_Residues",tonnes,Biomass,Crop residues
41,Material,Cocoa beans,tonnes,Biomass,Crops
42,Material,Cocoa beans_Residues,tonnes,Biomass,Crop residues
43,Material,"Coffee, green",tonnes,Biomass,Crops
44,Material,"Coffee, green_Residues",tonnes,Biomass,Crop residues
45,Material,"Ginger, raw",tonnes,Biomass,Crops
46,Material,"Ginger, raw_Residues",tonnes,Biomass,Crop residues
47,Material,Hop cones,tonnes,Biomass,Crops
48,Material,Hop cones_Residues,tonnes,Biomass,Crop residues
49,Material,Maté leaves,tonnes,Biomass,Crops
50,Material,Maté leaves_Residues,tonnes,Biomass,Crop residues
51,Material,"Nutmeg, mace, cardamoms, raw",tonnes,Biomass,Crops
52,Material,"Nutmeg, mace, cardamoms, raw_Residues",tonnes,Biomass,Crop residues
53,Material,"Other stimulant, spice and aromatic crops, n.e.c.",tonnes,Biomass,Crops
54,Material,"Other stimulant, spice and aromatic crops, n.e.c._Residues",tonnes,Biomass,Crop residues
55,Material,"Pepper (Piper spp.), raw",tonnes,Biomass,Crops
56,Material,"Pepper (Piper spp.), raw_Residues",tonnes,Biomass,Crop residues
57,Material,"Peppermint, spearmint",tonnes,Biomass,Crops
58,Material,"Peppermint, spearmint_Residues",tonnes,Biomass,Crop residues
